comunidadesAutonomas,camionesYfurgonetas,autobuses,turismos,motocicletas,tractoresIndustriales,remolquesYsemirremolques,otrosVehiculos,total,anyo
Extremadura,46611,639,231995,34190,3793,5257,2462,324947,2016
Galicia,12372,163,46389,5260,667,1038,1365,67254,2016
Madrid,26812,321,132020,15129,2036,2579,2861,181758,2016
Murcia,83824,1286,443592,34661,10435,2631,3019,579448,2016
Navarra,17406,280,77483,9967,2142,2464,939,110681,2016
La Rioja,8939,60,35254,3956,507,639,746,50101,2016
Comunidad Valenciana,17578,352,92865,13233,651,1222,2135,128036,2016
Pais Vasco,3960,32,14116,1644,191,244,360,20547,2016
Ceuta y Melilla,3298,1,10808,1724,9,19,106,15965,2016
TOTAL GENERAL,533655,6060,2499221,314148,36618,39354,37183,3466239,2016
Andalucia,88925,575,421969,60902,4679,6143,6697,589890,2017
Aragon,14705,55,65706,7790,1332,4546,1329,95463,2017
Asturias,10305,141,58399,6232,623,736,1122,77558,2017
Illes Ballears,12868,176,68454,11372,208,391,509,93978,2017
Canarias,31856,274,118838,14492,372,1100,2442,169374,2017
Cantabria,4886,41,27351,3409,320,438,472,36917,2017
Castilla La Mancha,25597,188,120681,12584,1691,2428,2701,165870,2017
Castilla y Leon,38774,585,249348,12169,2278,2509,2223,307886,2017
Catalunya,86295,454,460264,71451,3066,5459,5416,632405,2017
Extremadura,47848,633,255347,35063,3099,4861,2511,349362,2017
Galicia,12745,131,52293,5183,700,1018,1234,73304,2017
Madrid,26467,405,143916,15872,1691,2401,2957,193709,2017
Murcia,80930,1446,489017,40276,11105,2266,3089,628129,2017
Navarra,17547,298,87591,10297,1998,2119,1007,120857,2017
La Rioja,9529,67,40025,3979,462,843,806,55711,2017
Comunidad Valenciana,18072,357,104408,13112,625,1236,2024,139834,2017
Pais Vasco,3897,14,15361,1637,162,224,326,21621,2017
Ceuta y Melilla,3583,4,10543,1859,4,19,129,16141,2017
TOTAL GENERAL,534829,5844,2789511,327679,34415,38737,36994,3768009,2017
Andalucia,92352,572,450929,60223,4530,5702,6729,621037,2018
Aragon,14873,37,66181,7736,1196,3848,1333,95204,2018
Asturias,10034,124,59750,5877,601,694,966,78046,2018
Illes Ballears,12844,149,69259,11299,270,369,522,94712,2018
Canarias,32588,213,128464,14619,432,1117,2195,179628,2018
Cantabria,4881,29,28550,3415,383,421,416,38095,2018
Castilla La Mancha,26431,135,125394,12296,1933,2593,2814,171596,2018
Castilla y Leon,38858,532,266894,12152,2908,2405,2354,326103,2018
Catalunya,88998,706,497879,73194,3185,5643,5857,675462,2018
Extremadura,47105,571,267353,35257,3068,6330,2611,362295,2018
Galicia,13520,103,55707,5409,651,1066,1230,77686,2018
Madrid,26552,269,152442,15806,1855,2426,2947,202297,2018
Murcia,88978,1228,540935,37357,12959,2575,3366,687398,2018
Navarra,17367,205,91051,10306,2393,2552,1117,124991,2018
La Rioja,9643,75,40234,4277,426,599,771,56025,2018
Comunidad Valenciana,18499,365,107370,13213,606,1115,2045,143213,2018
Pais Vasco,3867,11,15641,1650,129,257,370,21925,2018
Ceuta y Melilla,3637,3,9650,1823,12,20,147,15292,2018
TOTAL GENERAL,551027,5327,2973683,325909,37537,39732,37790,3971005,2018
Andalucia,90636,479,462024,63948,4477,5550,7132,634246,2019
Aragon,14288,35,64746,8135,1014,4093,1383,93694,2019
Asturias,9551,145,58488,6452,579,646,1078,76939,2019
Illes Ballears,12502,246,68649,11690,213,313,590,94203,2019
Canarias,33560,221,128388,15761,335,946,2357,181568,2019
Cantabria,4969,33,28858,3639,306,455,471,38731,2019
Castilla La Mancha,26628,323,128330,13269,1894,2611,2807,175862,2019
Castilla y Leon,47041,616,297577,13484,5131,2468,2438,368755,2019
Catalunya,90367,431,495627,78192,3000,5753,7013,680383,2019
Extremadura,46701,553,271169,36781,3459,5176,2797,366636,2019
Galicia,13127,176,56790,5693,586,1031,1250,78653,2019
Madrid,26197,272,152438,16571,2403,2376,3290,203547,2019
Murcia,84402,967,537440,40591,9134,2044,3194,677772,2019
Navarra,16532,184,93072,10638,2131,2296,1071,125924,2019
La Rioja,9485,82,38935,4257,487,628,818,54692,2019
Comunidad Valenciana,18836,445,106900,13948,696,1250,2220,144295,2019
Pais Vasco,3897,13,15573,1735,139,206,518,22081,2019
Ceuta y Melilla,2524,5,9146,2034,12,14,96,13831,2019
TOTAL GENERAL,551243,5226,3014150,346818,35996,37856,40523,4031812,2019
